86223	1000	389
37374	10000	43
37379	10008	2
121280	1000mm	3
91460	1001	2
35998	1001.9	2
60651	10016	2
91459	1002	5
91458	1003	2
38600	100365	2
91457	1004	4
99584	1005173	2
91455	1007	5
14731	10079	2
91453	1009	3
11422	100centimes	2
85246	100cm	2
20344	100kg	2
91406	100m	6
111360	101	63
91781	101.56	2
115947	1010	4
115948	1011	3
115949	1012	2
45265	1012.9	2
73920	10136	2
115943	1014	3
123120	1014.5	2
115944	1015	3
66488	1015mm	2
115945	1016	6
61893	1016.4	2
115939	1018	10
121453	1018523	2
38698	102	63
125034	102.1	2
25832	102.52	2
81716	102.64	2
125031	102.9	2
44462	1020	10
19044	1021	9
44464	1022	2
44463	1023	2
44459	1024	5
105536	102488	2
44458	1025	3
44460	1027	3
44467	1028	2
7206	10283	2
18766	1029.8	2
38699	103	59
82317	103.01	2
1845	103.1	3
35535	103.20	2
1841	103.5	3
1844	103.6	2
1843	103.7	2
67611	1030	10
67612	1031	2
44191	103104	2
67609	1032	2
67610	1033	5
99307	10339	2
67615	1034	4
67616	1035	3
67613	1036	2
89571	103633	2
59408	103678	2
67605	1038	2
67606	1039	2
38704	104	74
67154	1040	4
55170	104009	2
126096	1041	2
58633	1041.6	2
4086	10417	2
126095	1042	9
87569	1043	3
126101	1044	11
126100	1045	3
97225	10452	2
126099	1046	4
121951	10463	2
121948	10467	2
126098	1047	4
117873	1048	7
126103	1049	4
101751	1049.7	2
12786	104921	2
38705	105	92
111461	105.20	2
77009	105.6	4
77008	105.7	2
21459	1050	16
86778	10500	4
94595	105000	2
63190	10512	2
2591	105147	2
21460	1052	6
45373	1053	2
5181	1054	4
35152	1054.4	2
25007	10548	2
21463	1055	6
61532	10551	2
21464	1056	8
51210	1056.2	2
58764	1056.5	2
21465	1057	2
10979	105mm	2
111364	106	71
21103	106.66	2
16782	106.693	2
44083	106.74	2
77111	1060	8
2939	1060.1	2
88317	1061	4
71983	106262	2
77112	1063	4
5868	106453	2
77114	1065	3
77117	1066	3
61300	1066.7	2
72871	106666	2
77105	1068	2
93773	106mm	4
38703	107	55
109039	107.6	3
126631	107.88	2
101105	1071	5
103105	1072	2
103109	1073	2
103103	1075	8
78747	10768	2
101099	1077	9
103086	1078	7
101097	1079	5
38695	108	93
26158	1080	9
108700	10800	2
26157	1081	4
26156	1082	2
26153	1085	5
91657	1085.5	2
103820	10850	2
126751	1086	10
33178	1087	6
127539	108mm	3
38696	109	51
120721	109.4	2
18375	109.6	2
18374	109.7	3
49240	1090	10
49242	1093	2
47216	1094	2
49238	1095	5
49239	1096	4
62089	10960	2
49446	109720.9	2
4860	10991	2
87233	10GB	2
45569	10cm	5
114743	10deAgosto	2
12511	10kg	2
118520	10km	2
38653	10m	3
74615	10ppm	2
103888	11	846
21012	11.0	4
86399	11.04	2
86396	11.08	2
21013	11.1	7
62858	11.13	2
3741	11.19	2
21014	11.2	21
98876	11.21	2
39556	11.25	2
39555	11.26	3
21015	11.3	18
16922	11.36	2
21008	11.4	20
120638	11.45	2
120639	11.47	2
21009	11.5	30
874	11.51974	2
96029	11.54	4
96028	11.56	4
96032	11.58	2
96033	11.59	3
27036	11.6	11
72144	11.61	3
72143	11.62	2
21011	11.7	28
48850	11.73	2
48852	11.76	2
48840	11.78	4
44739	11.79	4
26938	11.8	16
21354	11.84	2
2183	11.9	7
117239	11.98	2
62030	110	173
3362	110.5	2
40684	110.53	2
56537	1100	64
35741	11000	16
8677	1101	3
71710	1102	8
71706	1106	7
108018	1106.04	2
103553	1106.5	2
71707	1107	2
71719	1108	2
107178	1108297	2
56564	1109	3
11065	1109.19	2
60040	11090	4
6822	110910	2
106061	110mm	3
126584	111	47
77226	111.75	2
116892	111.8	2
60603	111.98	2
4776	111001.9	2
48438	1111	4
48439	1113	5
111834	11137	2
34896	111509	2
48442	1116	4
79491	11164	2
48441	1117	3
48443	1119	3
62032	112	55
87529	112.4	3
35032	112.6	4
35031	112.7	2
120174	1120	13
42454	112090	2
120175	1121	4
120176	1122	5
120177	1125	9
120851	1125g	2
120178	1126	4
120179	1127	13
120169	1129	2
79153	1129.8	2
102885	112946	2
62031	113	72
103480	113.18	2
8768	113.4	4
70085	1130	8
68262	11300	5
95535	1131	4
11443	11318.4	2
95534	1132	2
13434	1132.7	3
104903	113244	2
95533	1133	2
95540	1134	3
61757	1135	7
124113	1135.7	2
95538	1136	2
82657	11363	2
95537	1137	2
67859	11374.47	2
70056	1138	3
94872	113888	2
70052	1139	4
87452	113A2	2
62026	114	48
94413	114.4	2
122687	114.512	2
94414	114.7	5
107242	114.76	2
102737	1140	9
10943	11400	4
10941	11403	2
39128	1142	4
57054	11420	2
101035	1143	2
33721	11431	2
39133	1145	3
39131	1146	6
104021	1146.0	2
56524	114600	2
39132	1147	6
10583	11474	2
39135	1148	2
39136	1149	2
119672	115	56
125144	115.11	2
68060	115.25	2
111993	115.4	2
112003	115.7	2
80973	115.8	2
16504	1150	15
16503	1151	2
16505	1153	2
16502	1156	8
16501	1157	6
16500	1158	2
16499	1159	4
7839	115mm	5
126582	116	46
12486	116.24	2
12492	116.25	2
86011	1160	6
15395	1161	2
86013	1162	2
29981	116292	2
102678	1163	4
86008	1164	3
4925	11643	2
86009	1165	5
15389	1167	5
60075	11670	2
86018	1168	4
126580	117	41
121431	117.2	3
14617	117.5	3
26671	117.74	2
14620	117.9	2
62439	1170	10
118521	11700	2
7521	11716	2
62437	1172	4
95526	1172.4	2
62436	1173	4
51705	117362	2
1243	1174	8
32546	1174005	2
89262	117597	2
62434	1176	4
62433	1177	2
62446	1178	3
1274	1179	5
41226	1179190	2
119884	118	64
9417	118.188	2
27540	118.4	3
27542	118.6	2
11663	1180	9
37979	11800	4
49404	1181.3	2
49409	1181.5	2
11661	1182	4
55511	11820	2
11662	1183	3
11660	1185	8
11659	1187	2
117804	1187.8	2
11658	1189	5
62034	119	36
87968	119.3	2
36807	119.5	3
69344	119.59	2
115049	1190	15
115051	1192	6
108505	11920	2
79176	119266	2
108499	11928	3
115050	1193	3
115053	1194	4
74587	1194.27	2
115052	1195	6
19340	11956	2
74826	11960	3
55718	1198	2
89065	11983	2
126844	11B	2
126722	11cm	2
119606	12	869
100176	12.0	6
57654	12.06	2
57655	12.09	2
66308	12.1	17
115307	12.11	2
115293	12.12	2
81113	12.14	2
81120	12.18	3
66307	12.2	15
127728	12.25	2
105176	12.28	3
127692	12.29	2
66306	12.3	16
14033	12.32	2
9520	12.355	2
66313	12.4	13
66312	12.5	38
48285	12.52	2
66311	12.6	34
55694	12.65	3
12164	12.68	4
24624	12.7	17
69512	12.79	4
66315	12.8	17
107716	12.8232	2
125053	12.86	2
125046	12.88	2
66314	12.9	19
20612	12.93	5
20610	12.97	2
109042	12.975	2
85577	120	286
44325	120.00	2
118651	120.12	2
52436	1200	159
38982	12000	24
65347	120000	3
65369	12000g	2
38946	1200g	2
56972	1200km	2
38942	1200m	2
86570	12011	2
52438	1202	4
2580	120241	2
52437	1203	2
71516	12040	2
52433	1205	5
52435	1206	5
52430	1209	4
764	120ER	2
5740	120Hz	2
99208	120km	3
65964	120m	3
120667	120mm	4
47440	121	38
33911	121.97	2
75727	1210	6
123443	12100	2
20101	12105	2
75728	1211	2
75725	1212	4
80045	1214	4
51818	12147	3
75732	1215	14
75729	1216	3
75730	1217	4
75735	1219	10
88287	1219090	2
23764	121945	2
85579	122	48
23454	122.1	2
23451	122.2	2
23452	122.3	2
17607	122.5	4
72729	122.6	2
99653	1220	11
99652	1221	6
99651	1222	3
99650	1224	6
99649	1225	7
48855	1225.1	2
56305	12258	2
99648	1226	2
99647	1227	6
42704	122762	2
99657	1228	3
99656	1229	2
85580	123	40
43096	123.23	2
12701	123.4	4
96844	123.6	2
124583	1230	7
25404	1231	4
124585	1232	5
124586	1233	3
124579	1234	2
42707	1234567	3
79205	123526.02	2
124581	1236	2
124582	1237	3
95295	1237348	2
109247	1238	5
124591	1239	3
85581	124	42
10459	1240	9
36609	1240053	2
88968	1240728	2
85173	1241	3
85176	1242	3
85175	1243	3
85177	1245	2
85180	1246	8
85179	1247	2
86424	1248	5
85181	1249	4
85582	125	47
12615	125.1	2
12618	125.8	4
109499	1250	14
126199	12500	5
50877	125069	2
126243	1250m	2
109500	1251	3
16326	1252	8
109498	1253	7
109495	1254	6
7903	12550	2
24092	1256	2
80879	1257	2
109502	1258	7
91313	125869	2
85583	126	36
92046	126.990	2
28092	1260	16
77762	12600	2
6433	1261	5
101820	12610	2
6432	1262	7
37722	1264	5
37719	1265	8
6436	1266	3
65224	1266.7	2
37712	1267	2
6430	1268	3
127145	126859	2
6429	1269	2
61910	1269552	2
85584	127	34
